assess_date,Round2_reviewer1,Round2_reviewer2,Round1_reviewer,FirstAuthor,Title,SourcePublication,PublicationYear
2020-04-15,Kathryn*,Julie,Laura,Tamburini,Pollination benefits are maximized at intermediate nutrient levels,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2017
2020-04-15,Kathryn*,Kathryn,Travis,Orford,The forgotten flies: the importance of non-syrphid Diptera as pollinators,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015
2020-04-15,Kathryn*,Julie,Laura/Caitlin,Tekken,Things are different now: Farmer perceptions of cultural ecosystem services of traditional rice landscapes in Vietnam and the Philippines,ECOSYSTEM SERVICES,2017
2020-04-15,Laura,Nick,Sierra,Le Clec'h,From Field Data to Ecosystem Services Maps: Using Regressions for the Case of Deforested Areas Within the Amazon,ECOSYSTEMS,2018
2020-04-15,Laura,Nick,Julie,Jiang,"Quantifying changes in multiple ecosystem services during 2000-2012 on the Loess Plateau, China, as a result of climate variability and ecological restoration",ECOLOGICAL ENGINEERING,2016
2020-04-15,Sierra,Grant,Laura/Caitlin,Monagan,Anolis lizards as biocontrol agents in mainland and island agroecosystems,ECOLOGY AND EVOLUTION,2017
2020-04-15,Sierra,Grant,Julie,Robertson,Does rotational heather burning increase red grouse abundance and breeding success on moors in northern England?,WILDLIFE BIOLOGY,2017
2020-04-15,Sierra,Grant,Isabel,Traveset,Effects of habitat loss on the plant-flower visitor network structure of a dune community,OIKOS,2018
2020-04-15,Sierra,Grant,Julie,Moores,Evaluation of a new method for assessing resilience in urban aquatic social-ecological systems,ECOLOGY AND SOCIETY,2017
2020-04-15,Sierra,Laurel,Isabel,Wozniak,From intrinsic to service potential: An approach to assess tourism landscape potential,LANDSCAPE AND URBAN PLANNING,2018
2020-04-15,Sierra,Grant,Isabel,Pearse,"Homogenization of plant diversity, composition, and structure in North American urban yards",ECOSPHERE,2018
2020-04-15,Sierra,Laurel,Kathryn,Blaustein,Integrating ecology into green roof research,ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,2016
2020-04-15,Sierra,Grant,Julie,Mitchell,Landscape structure influences urban vegetation vertical structure,JOURNAL OF APPLIED ECOLOGY,2016
2020-04-15,Sierra,Grant,Laura/Caitlin,Staes,Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach,ECOSYSTEM SERVICES,2017
2020-04-15,Sierra,Grant,Claire,White,Routes to achieving sustainable intensification in simulated dairy farms: The importance of production efficiency and complimentary land uses,JOURNAL OF APPLIED ECOLOGY,2019
2020-04-15,Sierra,Grant,Claire,Solomou,Terrestrial isopods as bioindicators for environmental monitoring in olive groves and natural ecosystems,JOURNAL OF NATURAL HISTORY,2019
2020-04-15,Sierra,Laurel,Caitlin,Stenchly,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
2020-04-15,Travis,Kathryn,Tim,Anton,Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,ECOLOGICAL APPLICATIONS,2011
2020-04-15,Travis,Caitlin,Claire,Decker,Restoration potential of threatened ecosystem engineers increases with aridity: broad scale effects on soil nutrients and function,ECOGRAPHY,2019
